ID;Name;RA;DEC;Obj. Type;Redshift;Host Name;Host Redshift;Discovering Group/s;Classifying Group/s;Associated Group/s;Disc. Internal Name;Disc. Instrument/s;Class. Instrument/s;TNS AT;Public;End Prop. Period;Discovery Mag;Discovery Mag Filter;Discovery Date (UT);Sender;Ext. catalog/s
30665;SN 2018hsf;02:40:12.772;-19:58:44.94;SN Ic-BL;0.119;;;ZTF, ATLAS;ZTF;ATLAS, ZTF;ZTF18acbvpzj;P48 - ZTF-Cam, ATLAS1 - ACAM1;;1;1;;19.42;r-ZTF;2018-10-31 08:00:57;ZTF_Bot1;
30567;SN 2018hom;22:59:22.973;+08:45:05.07;SN Ic-BL;0.0362;;;ATLAS, GaiaAlerts, ZTF;ZTF;ATLAS, GaiaAlerts, ZTF;ATLAS18xyr;ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam;P60 - SEDM;1;1;;17.291;orange-ATLAS;2018-10-24 10:20:38;ATLAS_Bot1;
29755;SN 2018gju;00:08:11.786;-04:17:06.81;SN Ic-BL;0.05;;;ATLAS;ePESSTO;ATLAS;ATLAS18vhr;ATLAS1 - ACAM1;ESO-NTT - EFOSC2-NTT;1;1;;19.344;orange-ATLAS;2018-09-15 11:49:55;ATLAS_Bot1;
29729;SN 2018giu;20:27:49.216;+09:54:51.90;SN Ic-BL;0.026;;;ATLAS;ePESSTO;ATLAS;ATLAS18vgb;ATLAS1 - ACAM1;ESO-NTT - EFOSC2-NTT;1;1;;18.726;orange-ATLAS;2018-09-15 08:52:48;ATLAS_Bot1;
29620;SN 2018gep;16:43:48.222;+41:02:43.37;SN Ic-BL;0.032;SDSS J164348.22+410243.3;0.033;ZTF;Global SN Project;;ZTF18abukavn;P48 - ZTF-Cam;FTN - FLOYDS-N;1;1;;20.48;r-ZTF;2018-09-09 03:55:17;Ho;
29047;SN 2018fip;16:54:15.750;-54:02:39.27;SN Ic-BL;0.117;;;MASTER;STARGATE;MASTER;MASTER OT J165415.75-540239.27;Other - Other;;1;1;2018-08-25;14.5;Clear-;2018-07-28 17:29:38;Lipunov;
27170;SN 2018cow;16:16:00.223;+22:16:04.83;SN Ic-BL;;;;ATLAS, ZTF, GaiaAlerts;ZTF;ATLAS, GaiaAlerts, ZTF;ATLAS18qqn;ATLAS1 - ACAM1, P48 - ZTF-Cam, Gaia - Gaia-photometric;;1;1;;14.739;orange-ATLAS;2018-06-16 10:35:02;ATLAS_Bot1;
25278;SN 2018yg;12:25:58.510;+04:28:27.05;SN Ic-BL;0.018469;ARK 364;0.018469;ASAS-SN, ATLAS;ASAS-SN;ASAS-SN, ATLAS;ASASSN-18dr;ASASSN-5 - Payne-Gaposchkin, ASASSN-4 - Leavitt, ATLAS1 - ACAM1;MDM-2.4 - OSMOS;1;1;;17.2;g-Sloan;2018-02-23 05:16:48;Stanek;
24916;SN 2018kq;09:24:57.173;+40:23:55.14;SN Ic-BL;0.027;KUG 0921+406;0.027804;ASAS-SN;iPTF;ASAS-SN;ASASSN-18bj;ASASSN-4 - Leavitt;P60 - SEDM;1;1;;17.7;g-Sloan;2018-01-24 07:55:12;Stanek;
24850;SN 2018if;09:14:23.840;+49:35:32.90;SN Ic-BL;0.031;SDSS J091423.85+493533.4;;TNTS;TNTS;TNTS;;BAO-0.6m - BATC;Lijiang-2.4m - YFOSC;1;1;;17.6;Clear-;2018-01-18 19:12:00;Li;
24849;SN 2018ie;10:54:01.060;-16:01:21.40;SN Ic-BL;;NGC 3456;;LOSS, GaiaAlerts;;GaiaAlerts, LOSS;kait-18A;Other - Other, Gaia - Gaia-photometric;BAO-2.16m - Cassegrain;1;1;;16.8;Clear-;2018-01-18 12:06:10;Zheng;
23880;SN 2017ixv;19:21:31.240;+61:08:51.76;SN Ic-BL;0.007302;NGC 6796;;;Padova-Asiago;;;Other - Other;Other - Other, Ekar - BC-Ekar;1;1;;16;Clear-;2017-12-17 19:55:12;cortini;
23788;SN 2017iuk;11:09:39.520;-12:35:18.34;SN Ic-BL;0.0368; 2MASX J11093966-1235116;0.0368;HETH, GaiaAlerts, Pan-STARRS1;HETH;GaiaAlerts, HETH, Pan-STARRS1, STARGATE;HETH-SN1;GTC - OSIRIS, Gaia - Gaia-photometric, PS1 - GPC1;GTC - OSIRIS;1;1;;18.72;r-Sloan;2017-12-07 06:05:00;de Ugarte Postigo;
23363;SN 2017ifh;06:35:03.560;+50:26:27.90;SN Ic-BL;0.039;2MASX J06350438+5026278;;TNTS, ATLAS;;ATLAS, TNTS;;BAO-0.6m - BATC, ATLAS1 - ACAM1;Keck1 - LRIS;1;1;;18;Clear-;2017-11-15 18:00:00;Li;
23059;SN 2017htp;04:26:19.460;-10:27:45.90;SN Ic-BL;0.328;PSOJ042619.553-102745.801;0.328;STARGATE;STARGATE;STARGATE;GRB171010A SN;VLT-UT3 - VIMOS;VLT-UT2 - X-Shooter;1;1;;21.8;R-Cousins;2017-11-01 06:00:00;Malesani;
19828;SN 2017dcc;12:49:04.892;-12:12:22.42;SN Ic-BL;0.043;;;ATLAS, GaiaAlerts;ePESSTO;ATLAS, GaiaAlerts;ATLAS17eac;ATLAS1 - ACAM1, Gaia - Gaia-photometric;ESO-NTT - EFOSC2-NTT;1;1;;17.07;orange-ATLAS;2017-04-16 10:48:00;ATLAS_Bot1;
16889;SN 2016jca;06:06:51.430;-26:47:29.50;SN Ic-BL;0.1475;;0.1475;;;;SN-GRB161219B;VLT-UT1 - FORS2;VLT-UT1 - FORS2;1;1;;19;r-Sloan;2016-12-25 23:00:00;Pian;
16511;SN 2016ino;17:22:44.460;+62:09:44.40;SN Ic-BL;0.031;NGC6365A;;GaiaAlerts;;GaiaAlerts;;Other - Other, Gaia - Gaia-photometric;Other - Other;1;1;;17.8;Clear-;2016-11-25 18:01:26;Arbour;
12440;SN 2016coi;21:59:04.135;+18:11:10.46;SN Ic-BL;0.0036;UGC 11868;0.003646;ASAS-SN, GaiaAlerts, iPTF;NUTS;ASAS-SN, GaiaAlerts, iPTF;ASASSN-16fp;ASASSN-1 - Brutus, Gaia - Gaia-photometric, P48 - CFH12k;;1;1;;15.7;V-Johnson;2016-05-27 12:57:36;Stanek;
10018;SN 2016P;13:57:31.100;+06:05:51.00;SN Ic-BL;0.0146;NGC 5374;;RANSSP;;;;Other - Other;Lijiang-2.4m - YFOSC;1;1;;16;Clear-;2016-01-19 04:36:28;Duszanowicz;
10008;SN 2016G;03:03:57.740;+43:24:03.50;SN Ic-BL;0.009;NGC 1171;;GaiaAlerts;;GaiaAlerts;;Other - Other, Gaia - Gaia-photometric;Lijiang-2.4m - YFOSC;1;1;;17.2;Clear-;2016-01-09 22:26:24;Grzegorzek;
